stilling_id,original_text,text_length,word_count
10188577,Klokkargarden barnehage i Åmli søker etter pedagogisk leder med godkjent barnehagelærerutdanning til en 60% stilling. Vikariatet gjelder fra perioden 15.02.20 - 10.07.20. Mulighet for forlengelse.,196,25
10188712,"iTromsø har ledig en fast stilling som krimjournalist. Mediehuset iTromsø opplever en kraftig vekst og ser resultatene av en styrket satsing på krim. Vi er på utkikk etter noen som skal gjøre oss enda bedre når det gjelder dekning og oppfølging av pågående etterforskning, rettssaker og domstolbeslutninger, samt åstedsrapportering og journalistikk opp mot økonomisk kriminalitet. Du bør ha tidligere erfaring som journalist, og helst ha jobbet med krimjournalistikk tidligere. Også journalister med andre kvalifikasjoner, og systematiske, pågående og konkurranseinnstilte egenskaper, kan søke den ledige stillingen. Vi tilbyr: -Et arbeidsmiljø blant engasjerte kolleger -Et hektisk og kreativt arbeidsmiljø. -Gode lønns- og arbeidsbetingelser -Fleksibel arbeidstid Mediehuset iTromsø ønsker å styrke kvinneandelen i redaksjonen, og oppfordrer derfor kvinner til å søke. Søknad med CV kan sendes til stig.jakobsen@itromso.no Ved spørsmål om stillingene kan sjefredaktør # (#) kontaktes. Leder i redaksjonsklubben er # (#). Tiltredelse: 1. mars 2020 Søknadsfrist: 16. desember",1075,147
10188715,"iTromsø har ledig en fast stilling som økonomijournalist. Mediehuset iTromsø opplever en kraftig vekst og ser resultatene av en styrket satsing på økonomi og næringsliv. Vi er på utkikk etter noen som skal gjøre oss enda bedre på dekningen av oppstarter/konkurser, bolig, teknologi og sjømatnæringen. Vi er ute etter deg som har noen års erfaring som journalist, er vant med sosiale medier og behersker enkel billedredigering. Vi ser i særlig grad etter en person med erfaring innen økonomijournalistikk, med økonomisk utdanning eller med annen relevant bakgrunn og/eller kompetanse. Den rette vedkommende vil få ansvar for å utvikle økonomijournalistikken i iTromsø og å løfte dette stoffet på våre plattformer. Også journalister med andre kvalifikasjoner kan søke den ledige stillingen. Vi tilbyr: -Et arbeidsmiljø blant engasjerte kolleger -Et hektisk og kreativt arbeidsmiljø. -Gode lønns- og arbeidsbetingelser -Fleksibel arbeidstid Mediehuset iTromsø ønsker å styrke kvinneandelen i redaksjonen, og oppfordrer derfor kvinner til å søke. Søknad med CV kan sendes til stig.jakobsen@itromso.no Ved spørsmål om stillingene kan sjefredaktør # (#) kontaktes. Leder i redaksjonsklubben er # (#). Tiltredelse: 1. mars 2020 Søknadsfrist: 16. desember",1247,180
10188717,"iTromsø har ledig en fast stilling som vaktsjef på desken. Mediehuset iTromsø opplever en kraftig vekst og er på jakt etter en vaktsjef som kan styrke avisa ytterligere. Stillingen innebærer at du leder avisproduksjonen og nettpubliseringene. Med jobben følger ansvar for å sørge for at iTromsø er best og raskest på løpende hendelser og nyheter. Du vil også være en viktig bidragsyter til kontinuerlig utvikling av nettavisen. Du må trives med å jobbe i tett samarbeid med andre, kunne håndterer mye stress og mange arbeidsoppgaver samtidig, ha en utpreget digital forståelse og ha lett for å tilegne deg teknisk kompetanse. Tidligere erfaring med nettpublisering er en forutsetning, mens erfaring med frontredigering vil bli vektlagt. Jobben medfører turnusarbeid, med en del morgen-, ettermiddags- og kveldsvakter. Søknad med CV sendes til stig.jakobsen@itromso.no. Kvinner oppfordres til å søke. Ved spørsmål om stillingene kan sjefredaktør # (#) kontaktes. Leder i redaksjonsklubben er # (#). Tiltredelse: 1. mars 2020 Søknadsfrist: 16. desember",1050,157
10189042,"The position as specialist BOP/#, is in the # (FMU) department in D&W #. The FMU department is involved in rig procurement, mobilisation of drilling rigs and perform inspections and verification of drilling rigs both on NCS and internationally.",244,39
10189378,Har du lyst til å jobbe i den mest kreative og stadig voksende hotellkjeden i #? Er du en person som liker utfordringer og strever etter noe unikt? # har jobbet for innovasjon i hotellbransjen i mange år. Vi har tro på at talent kan komme fra hvor som helst. Vi er aldri gjennomsnittlig - er du?,295,57
10189379,Would you like to work in the most creative and ever expanding hotel chain in #? Are you someone who enjoys a challenge and strive for uniqueness? # have been pushing innovation in the hotel industry for years. We believe that great talent can come from anywhere. We are never average -- are you?,296,54
10189380,"Arbeidet i hjemmetjenesten er recoveryorientert. Brukerens egne mål om hva som er viktig, er utgangspunktet for tjenestene vi tilbyr. Dette gjør vi gjennom samtaler, internett-assistert selvhjelp, kurs (KiD, KiB, MAD, Tankevirus), støtte til daglige gjøremål og ulike aktiviteter. Vi har innført tilbakemeldingsverktøyet FiT (Feedback informerte Tjenester).",357,46
10189382,"Vi søker deg som er tillitvekkende, initiativrik, selvstendig og kreativ i ditt arbeid. Du trives med å ha kontakt med mennesker, og er god til å legge grobunn for dialog og samhandling. Du forstår sammenhengen mellom bosted- og næringsattraktivitet, og er genuint engasjert og interessert i næringslivet i Rakkestad.",317,49
10189383,"Har du en organisasjonsspire i magen, et sterkt engasjement for frivillighet og deler vår visjon for en mer rettferdig verden?",126,20
10189400,"Glemmen videregående skole søker en strukturert, engasjert og kvalitetsbevisst person som vil ha ansvaret for planlegging, gjennomføring og avslutning av skoleåret inn mot de skoleadministrative systemene.",205,26
10189402,"Nokas er et ledende sikkerhetskonsern med virksomhet i Norge, Sverige, Danmark og Finland. Selskapet ble etablert i 1987 og forventer i 2019 en omsetning på rundt NOK 8 milliarder.",180,29
10189403,"Nokas er et ledende sikkerhetskonsern med virksomhet i Norge, Sverige, Danmark og Finland. Selskapet ble etablert i 1987 og forventer i 2019 en omsetning på rundt NOK 8 milliarder.",180,29
10189406,"For vår kunde søker vi etter en operativ regnskapssjef som vil få ansvar for at selskapets regnskaper til enhver tid tilfredsstiller relevante lover og regler samt interne retningslinjer. Vi ser etter deg som har god regnskapsforståelse, er nysgjerrig, engasjert og kan jobbe selvstendig. I tillegg ønsker vi deg som har en god systemforståelse og som trigges av effektivisering og digitalisering. Stillingen innebærer i dag fagansvar, men vil på sikt og om ønskelig, også kunne innebære personalansvar. Selskapet holder til i flotte moderne lokaler sentralt i Oslo. Stillingen vil jobbe tett med og rapporterer til selskapets økonomidirektør.",643,96
10189409,"Vi søkjer etter ein dyktig medarbeidar som skal inngå i eit team av fire konsulentar i administrasjonen, med oppstart snarast mulig. Vi kan tilby ein arbeidsplass der vi ser og oppmuntrar kvarandre, med ein spennande og variert arbeidskvardag. Du er serviceinnstilt, løysningsorientert og taklar ein til tider hektisk kvardag.",326,49
10189412,Vil du være med på laget? # er i vekst og søker etter Prosjektkoordinator. Vi ser etter deg som vil utvikle vår service internt og eksternt.,140,26
10189413,"Ønsker du å ta del i en organisasjon med delingskultur i ryggmargen og et brennende ønske om å gjøre hverandre gode? Da kan dette være jobben for deg! Vi er landets største konsulentselskap, og har de siste årene vokst kraftig i takt med digitaliseringen av Norge. Sopra¿Steria¿er et¿endringsvillig og kunnskapsdrevet selskap, og det er ikke uten grunn til at vi er blitt kåret til Norges beste arbeidsplass tre år på rad.",422,71
10189419,På vegne av vår kunde søker vi dyktige elektrikere til ulike typer stillinger. Som elektriker hos vår kunde vil du arbeide med ulike oppdrag for bedrifts- og privatmarkedet. Arbeidet vil innebære både teknisk problemløsning og kontakt med kunder.,246,38
10189422,"Økt oppdragsmengde øker behovet for kompetente fagarbeidere. Vi har derfor behov flere hoder og hender. Har du lyst til å være med på det som bygges i Molde-området i årene framover, kan ELMO være din neste arbeidsgiver. ELMOs elektrovirksomhet er rettet mot prosjekt- og servicemarkedet med fokus på HMS og el-sikkerhet. Vi setter kunden først og gjør alt for å levere våre tjenester til rett tid til avtalt pris. ELMO satser sterkt på bruk av fremtidsrettet teknologi innen fagområdene elektro (sterk- og svakstrøm), automasjon og varmepumpe. Våre ansatte er vår klart viktigste ressurs og medarbeidere med rett kompetanse er særlig verdifulle for oss. Vi har følgende ledige stillinger: Erfaren elektriker - Bas/arbeidsleder elektro - Selvstendig og erfaren serviceelektriker - Selvstendig og erfaren svakstrøm-/telekommunikasjonsmontør Varmepumpemontør Les mer om stillingene og oss på vår hjemmeside www.elmo.no",916,134
10189423,"Vi trenger flere folk med på laget, og søker nå etter en nybilselger til Volkswagen. Om du ønsker å bli vår nye selger, vil vi veldig gjerne høre fra deg.",154,30
10189427,Vi ønsker å fortsette den gode trenden og ekspanderer vårt hovedkontor i Oslo med flere selgere. Vi søker salgskonsulenter som ønsker å lære salg og er på utkikk etter en jobb ved studiene eller som en faststilling. Som salgskonsulent vil din viktigste oppgave være å oppsøke kunder for salg av et lettsolgt produkt alle har fra tidligere. Det gir deg en morsom jobb og en solid lønn.,384,67
10189430,Vi ønsker å fortsette den gode trenden og ekspanderer vårt hovedkontor i Oslo med flere selgere. Vi søker salgskonsulenter som ønsker å lære salg og er på utkikk etter en jobb ved studiene eller som en faststilling. Som salgskonsulent vil din viktigste oppgave være å oppsøke kunder for salg av et lettsolgt produkt alle har fra tidligere. Det gir deg en morsom jobb og en solid lønn.,384,67
